fea_names,weight
x496,40
x111,32
x39,26
x830,25
x33,23
x495,23
x788,23
x90,22
x517,22
x7,21
x831,20
x2503,19
x519,19
x157,18
x86,18
x124,18
x167,17
x524,16
x104,15
x137,14
x1383,14
x156,13
x825,12
x403,12
x155,12
x2,11
x492,10
x719,10
x515,10
x10,9
x42,9
x108,8
x433,8
x970,8
x1143,8
x775,8
x1449,8
x95,7
x1654,7
x132,7
x63,6
x776,6
x20,6
x139,6
x226,6
x228,6
x134,6
x578,6
x2314,5
x596,5
x188,5
x102,5
x308,5
x185,4
x117,4
x40,4
x3259,3
x415,3
x1439,3
x123,2
x4,2
x868,2
x616,2
x225,2
x1471,2
x399,1
